[INFO][2016-08-16 11:19:43,100][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:19:43,115][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-16 11:20:11,430][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:20:11,494][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:20:11,509][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:20:19,028][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:20:19,044][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-16 11:20:49,156][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:20:49,219][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:20:49,235][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:20:56,179][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:20:56,195][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-16 11:21:16,672][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:21:16,687][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-16 11:21:42,040][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:21:42,055][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-16 11:22:09,346][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:22:09,361][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-16 11:27:44,820][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-16 11:27:45,009][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-16 11:27:45,835][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-16 11:27:50,706][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:27:51,050][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:27:51,065][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:27:58,756][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:27:58,772][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-16 11:28:26,231][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:28:26,246][com.jk.controller.UserController]用户信息查询
[INFO][2016-08-16 11:48:16,592][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 11:48:16,608][com.jk.controller.UserController]用户信息查询
[ERROR][2016-08-16 14:39:08,381][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-16 14:39:08,570][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-16 14:39:09,404][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-16 14:41:31,644][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 14:41:38,549][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 14:41:40,584][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[ERROR][2016-08-16 14:42:17,525][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-16 14:42:17,711][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-16 14:42:18,553][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-16 14:43:09,170][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 14:44:29,672][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[ERROR][2016-08-16 14:45:01,861][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-16 14:45:02,048][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-16 14:45:02,859][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-16 14:45:52,965][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[ERROR][2016-08-16 14:47:03,321][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-16 14:47:03,502][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-16 14:47:04,317][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-16 14:47:28,612][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 14:47:31,610][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-16 14:47:33,422][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[ERROR][2016-08-17 09:47:29,951][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-17 09:47:30,365][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[ERROR][2016-08-17 10:06:15,566][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-17 10:06:15,825][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-17 10:06:16,900][com.jk.listener.RepairListener]修复数据库
[ERROR][2016-08-17 10:22:08,991][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-17 10:22:09,232][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-17 10:22:10,281][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-17 10:23:40,424][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-17 10:24:01,333][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-17 10:24:02,011][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[ERROR][2016-08-18 14:33:30,757][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-18 14:33:31,008][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-18 14:33:32,615][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2016-08-18 14:40:37,330][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-18 14:40:37,557][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-18 14:40:38,595][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-18 14:40:48,596][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2016-08-18 14:42:57,133][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-18 14:42:57,387][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-18 14:42:58,446][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-18 14:43:10,161][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:43:10,397][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:43:10,420][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:43:19,434][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:43:45,465][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:44:46,656][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:44:57,183][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:46:42,138][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:46:42,227][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:46:42,284][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:46:49,441][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:46:57,866][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[ERROR][2016-08-18 14:49:51,439][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-18 14:49:51,635][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-18 14:49:52,634][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-18 14:50:06,887][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:50:07,083][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:50:07,157][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:50:14,666][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:50:56,199][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[ERROR][2016-08-18 14:51:30,545][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2016-08-18 14:51:30,764][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2016-08-18 14:51:31,684][com.jk.listener.RepairListener]修复数据库
[INFO][2016-08-18 14:51:40,567][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
[INFO][2016-08-18 14:51:40,810][com.jk.controller.MenuController]初始化加载树形结构方法开始。。。。
